kit_key,kit_name,kit_base_code,kit_language,kit_item_code,kit_url,item_order,item_code,in_index
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,1,SMF-92,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,2,P-10,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,3,SMF-121,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,4,SMF-122,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,5,SMF-187,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,6,SMF-56,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,7,SMF-131,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,8,SMF-116,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,9,SMF-29,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,10,F-2,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,11,MG-25,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,12,SMF-91,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,13,SMF-176,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,14,SMF-110,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,15,F-163,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,16,F-73,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,17,SMF-94,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,18,P-16,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,19,P-19,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,20,P-45,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,21,P-24,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,22,P-55,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,23,P-43,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,24,P-8,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,25,P-84,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,26,P-35,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,English,CF-36,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,27,P-52,yes
CF-36,A.A. Group Handbook for Groups That Meet in Correctional Facilities,CF-36,Spanish,CF-36,https://www.aa.org/sites/default/files/literature/cf-36sp-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-sp-2025.pdf,1,P-10,yes
